Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),IMDB Rating,Primary Actor,Movie Rating,Duration
Tragedy Girls,Tyler Macintyre,2017,8,2,No,6.8,Josh Hutcherson,R,98
Annabelle: Creation,David F. Sandberg,2017,23,4.5,No,6.7,Stephanie Sigman,R ,109
Happy Death Day,Christopher Landon,2017,8,2.5,No,6.7,Jessica Rothe,PG-13,Runtime Not Available
Flatliners,Niels Arden Oplev,2017,20,4,No,6.6,Ellen Page,PG-13,108
Gerald’s Game,Mike Flanagan,2017,3,0.5,Yes,6.6,#N/A,R,103
Alien: Covenant,Ridley Scott,2017,6,2,No,6.5,Michael Fassbender,R ,120
Mom and Dad,Brian Taylor,2017,5,1.5,No,6.5,Nicolas Cage,R,83
Creep 2,Patrick Brice,2017,6,2,Yes,6.4,Mark Duplass,NR,80
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,21,4,No,6.4,Martin Freeman,NR,97
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2,No,6.4,Matt Passmore,R ,91
The Babysitter,McG,2017,8,2.5,Yes,6.4,Alicia Silverstone,R ,90
1922,Zak Hilditch,2017,2,1,Yes,6.3,Thomas Jane,NR,101
Berlin Syndrome,Cate Shortland,2017,1,0.5,No,6.3,Teresa Palmer,R ,116
The Ritual,David Bruckner,2017,15,3,Yes,6.3,Jacob James Beswick,NR,94
Cargo,"Ben Howling, Yolanda Ramke",2017,2,0.5,Yes,6.2,Natasha Rinis,R,86
Four Hands,Oliver Kienle,2017,1,0.5,No,6.2,#N/A,R,94
It Comes at Night,Trey Edward Shults,2017,5,1.5,No,6.2,Joel Edgerton,R ,91
My Friend Dahmer,Marc Meyers,2017,0,0,No,6.2,Ross Lynch,R ,107
Hotel Inferno 2: The Cathedral of Pain,"Giulio De Santi, Tiziana Machella",2017,5,1.5,No,6,Rayner Bourton,0,70
Marrowbone,Sergio G. Sánchez,2017,5,2.5,No,5.9,Anya Taylor-Joy,R ,110
Dismissed,Benjamin Arfmann,2017,0,0,No,5.7,Dylan Sprouse,0,0
47 Meters Down,Johannes Roberts,2017,11,3,Yes,5.7,Mandy Moore,PG-13,89
Little Evil,Eli Craig,2017,7,1.5,Yes,5.7,Adam Scott,NR,94
Sequence Break,Graham Skipper,2017,3,0.5,No,5.7,John Dinan,0,80
The Cured,David Freyne,2017,16,3,No,5.4,Ellen Page,R ,96
Cult of Chucky,Don Mancini,2017,14,3.5,Yes,5.2,Jennifer Tilly,R ,91
Phoenix Forgotten,Justin Barber,2017,0,0,No,5.2,Florence Hartigan,PG-13,80
The Snowman,Tomas Alfredson,2017,9,2,No,5.2,Raymond Briggs,G,26
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3,No,5.1,Stephen Dorff,R ,90
Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,1989,16,3.5,No,5.2,Danielle Harris,R,96
Wish Upon,John R. Leonetti,2017,11,2,No,5.1,Joey King,PG-13,89
The Crucifixion,Xavier Gens,2017,19,4.5,No,5,Sophie Cookson,R ,90
Amityville: The Awakening,Franck Khalfoun,2017,11,3,No,4.9,Jennifer Jason Leigh,R ,100
Housewife,Can Evrenol,2017,5,1,No,4.9,#N/A,R,82
What the Waters Left Behind,"Luciano Onetti, Nicolás Onetti",2017,5,1,No,4.9,#N/A,R,98
Devil in the Dark,Tim Brown,2017,2,0.5,No,4.7,#N/A,R,83
Slumber,Jonathan Hopkins,2017,12,3,No,4.7,Maggie Q,R ,85
The Heretics,Chad Archibald,2017,4,1.5,Yes,4.7,#N/A,R,87
Death Note,Adam Wingard,2017,6,1.5,Yes,4.6,Nat Wolff,NR,101
The Innocents,Jack Clayton,1961,4,0.5,No,5.2,María Eugenia Arboleda,0,0
Rings,F. Javier Gutiérrez,2017,19,3.5,No,4.5,Matilda Anna Ingrid Lutz,PG-13,117
The Bye Bye Man,Stacy Title,2017,13,3,No,4.3,Cressida Bonas,PG-13,96
The Gracefield Incident,Mathieu Ratthe,2017,10,2.5,No,4.1,Mathieu Ratthe,PG-13,89
The Cropsey Incident,Julian Grant,2017,0,0,No,3.5,#N/A,R,85
Halloween,David Gordon Green,2018,14,3.5,No,7.9,Malcolm McDowell,R ,109
Slender Man,Sylvain White,2018,15,3.5,No,7.8,Aisha Bulahova,0,0
Searching,Aneesh Chaganty,2018,0,0,No,7.6,#N/A,R,102
A Quiet Place,John Krasinski,2018,14,4,No,7.5,Emily Blunt,PG-13,90
Hereditary,Ari Aster,2018,8,2,No,7.3,Toni Collette,R ,127
Annihilation,Alex Garland,2018,4,1.5,Yes,6.9,Natalie Portman,R ,Runtime Not Available
Suspiria,Luca Guadagnino,2018,2,0.5,No,6.8,#N/A,R,152
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,4,No,6.7,#N/A,R,105
Venom,Ruben Fleischer,2018,10,2.5,Yes,6.7,Agnes Bruckner,R ,85
Bird Box,Susanne Bier,2018,4,0.5,Yes,6.6,#N/A,R,124
Mandy,Panos Cosmatos,2018,5,1.5,No,6.6,Nicolas Cage,NR,120
Overlord,Julius Avery,2018,12,2.5,No,6.6,Brian Stirner,NR,85
Unsane,Steven Soderbergh,2018,2,0.5,No,6.4,Claire Foy,R ,97
Apostle,Gareth Evans,2018,5,1.5,Yes,6.3,Dan Stevens (IV),NR,129
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2,No,6.2,Chris Pratt,PG-13,129
The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No,6,#N/A,R,105
Cam,Daniel Goldhaber,2018,1,0.5,Yes,5.9,#N/A,R,94
Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.9,Colin Woodell,R ,88
You Might Be the Killer,Brett Simmons,2018,6,1.5,No,5.9,#N/A,R,92
When a Stranger Calls,Fred Walton,1979,5,2,No,5,Camilla Belle,PG-13,87
Butterfly Kisses,Erik Kristopher Myers,2018,2,1,No,5.8,#N/A,R,91
Insidious: The Last Key,Adam Robitel,2018,15,4,No,5.7,Lin Shaye,PG-13,103
Possum,Matthew Holness,2018,4,1,No,5.6,#N/A,R,85
The Meg,Jon Turteltaub,2018,18,3.5,No,5.6,#N/A,R,113
Hell Fest,Gregory Plotkin,2018,28,5,No,5.5,#N/A,R,89
The Cloverfield Paradox,Julius Onah,2018,8,3,Yes,5.5,#N/A,R,102
Halloween II,Rick Rosenthal,1981,8,2,No,4.9,Jamie Lee Curtis,R,93
